tokens,text_unit_component,row,split,row_position,start_dist,end_dist,backward,forward,anterior_passage
张家汉,"[[8, 9, 10]]",[3],0,middle,4,12,"[""\u5728"", ""\u706b\u707e\u73b0\u573a"", ""\uff0c""]","[""\u6beb\u4e0d"", ""\u754f\u60e7"", ""\uff0c""]","""\u5728\u706b\u707e\u73b0\u573a\uff0c"""
毫不,"[[11, 12]]",[3],0,middle,5,11,"[""\u706b\u707e\u73b0\u573a"", ""\uff0c"", ""\u5f20\u5bb6\u6c49""]","[""\u754f\u60e7"", ""\uff0c"", ""\u4ed6""]","""\u5728\u706b\u707e\u73b0\u573a\uff0c\u5f20\u5bb6\u6c49"""
畏惧,"[[13, 14]]",[3],0,middle,6,10,"[""\uff0c"", ""\u5f20\u5bb6\u6c49"", ""\u6beb\u4e0d""]","[""\uff0c"", ""\u4ed6"", ""\u6cbf\u7740""]","""\u5728\u706b\u707e\u73b0\u573a\uff0c\u5f20\u5bb6\u6c49\u6beb\u4e0d"""
，,[[15]],[3],0,middle,7,9,"[""\u5f20\u5bb6\u6c49"", ""\u6beb\u4e0d"", ""\u754f\u60e7""]","[""\u4ed6"", ""\u6cbf\u7740"", ""\u697c\u68af""]","""\u5728\u706b\u707e\u73b0\u573a\uff0c\u5f20\u5bb6\u6c49\u6beb\u4e0d\u754f\u60e7"""
他,[[16]],[3],0,middle,8,8,"[""\u6beb\u4e0d"", ""\u754f\u60e7"", ""\uff0c""]","[""\u6cbf\u7740"", ""\u697c\u68af"", ""\u722c\u5230""]","""\u5f20\u5bb6\u6c49\u6beb\u4e0d\u754f\u60e7\uff0c"""
沿着,"[[17, 18]]",[3],0,middle,9,7,"[""\u754f\u60e7"", ""\uff0c"", ""\u4ed6""]","[""\u697c\u68af"", ""\u722c\u5230"", ""\u4e86""]","""\u5f20\u5bb6\u6c49\u6beb\u4e0d\u754f\u60e7\uff0c\u4ed6"""
楼梯,"[[19, 20]]",[3],0,middle,10,6,"[""\uff0c"", ""\u4ed6"", ""\u6cbf\u7740""]","[""\u722c\u5230"", ""\u4e86"", ""\u7740\u706b""]","""\u5f20\u5bb6\u6c49\u6beb\u4e0d\u754f\u60e7\uff0c\u4ed6\u6cbf\u7740"""
爬到,"[[21, 22]]",[3],0,middle,11,5,"[""\u4ed6"", ""\u6cbf\u7740"", ""\u697c\u68af""]","[""\u4e86"", ""\u7740\u706b"", ""\u5c42""]","""\u5f20\u5bb6\u6c49\u6beb\u4e0d\u754f\u60e7\uff0c\u4ed6\u6cbf\u7740\u697c\u68af"""
了,[[23]],[3],0,middle,12,4,"[""\u6cbf\u7740"", ""\u697c\u68af"", ""\u722c\u5230""]","[""\u7740\u706b"", ""\u5c42"", ""\u4e0a\u9762""]","""\u5f20\u5bb6\u6c49\u6beb\u4e0d\u754f\u60e7\uff0c\u4ed6\u6cbf\u7740\u697c\u68af\u722c\u5230"""
着火,"[[24, 25]]",[3],0,middle,13,3,"[""\u697c\u68af"", ""\u722c\u5230"", ""\u4e86""]","[""\u5c42"", ""\u4e0a\u9762"", ""\uff0c""]","""\u5f20\u5bb6\u6c49\u6beb\u4e0d\u754f\u60e7\uff0c\u4ed6\u6cbf\u7740\u697c\u68af\u722c\u5230\u4e86"""
