tokens,text_unit_component,row,split,row_position,start_dist,end_dist,backward,forward,anterior_passage
当,[[10]],[5],0,middle,6,16,"[""\u9ad8\u7684"", ""\u4e5f"", ""\u6709""]","[""\u9152\u9986"", ""\u7684"", ""\u3002""]","""    \u4f46\u662f\u5ea6\u6570\u9ad8\u7684\u4e5f\u6709"""
酒馆,"[[11, 12]]",[5],0,middle,7,15,"[""\u4e5f"", ""\u6709"", ""\u5f53""]","[""\u7684"", ""\u3002"", ""\u6211""]","""    \u4f46\u662f\u5ea6\u6570\u9ad8\u7684\u4e5f\u6709\u5f53"""
的,[[13]],[5],0,middle,8,14,"[""\u6709"", ""\u5f53"", ""\u9152\u9986""]","[""\u3002"", ""\u6211"", ""\u662f""]","""    \u4f46\u662f\u5ea6\u6570\u9ad8\u7684\u4e5f\u6709\u5f53\u9152\u9986"""
。,[[14]],[5],0,middle,9,13,"[""\u5f53"", ""\u9152\u9986"", ""\u7684""]","[""\u6211"", ""\u662f"", ""\u88ab""]","""    \u4f46\u662f\u5ea6\u6570\u9ad8\u7684\u4e5f\u6709\u5f53\u9152\u9986\u7684"""
我,[[15]],[5],0,middle,10,12,"[""\u9152\u9986"", ""\u7684"", ""\u3002""]","[""\u662f"", ""\u88ab"", ""\u8fd9""]","""\u4f46\u662f\u5ea6\u6570\u9ad8\u7684\u4e5f\u6709\u5f53\u9152\u9986\u7684\u3002"""
是,[[16]],[5],0,middle,11,11,"[""\u7684"", ""\u3002"", ""\u6211""]","[""\u88ab"", ""\u8fd9"", ""\u4e24""]","""\u4f46\u662f\u5ea6\u6570\u9ad8\u7684\u4e5f\u6709\u5f53\u9152\u9986\u7684\u3002\u6211"""
被,[[17]],[5],0,middle,12,10,"[""\u3002"", ""\u6211"", ""\u662f""]","[""\u8fd9"", ""\u4e24"", ""\u5757""]","""\u4f46\u662f\u5ea6\u6570\u9ad8\u7684\u4e5f\u6709\u5f53\u9152\u9986\u7684\u3002\u6211\u662f"""
这,[[18]],[5],0,middle,13,9,"[""\u6211"", ""\u662f"", ""\u88ab""]","[""\u4e24"", ""\u5757"", ""\u94b1""]","""\u4f46\u662f\u5ea6\u6570\u9ad8\u7684\u4e5f\u6709\u5f53\u9152\u9986\u7684\u3002\u6211\u662f\u88ab"""
两,[[19]],[5],0,middle,14,8,"[""\u662f"", ""\u88ab"", ""\u8fd9""]","[""\u5757"", ""\u94b1"", ""\u7684""]","""\u4f46\u662f\u5ea6\u6570\u9ad8\u7684\u4e5f\u6709\u5f53\u9152\u9986\u7684\u3002\u6211\u662f\u88ab\u8fd9"""
块,[[20]],[5],0,middle,15,7,"[""\u88ab"", ""\u8fd9"", ""\u4e24""]","[""\u94b1"", ""\u7684"", ""\u9ec4\u9152""]","""\u4f46\u662f\u5ea6\u6570\u9ad8\u7684\u4e5f\u6709\u5f53\u9152\u9986\u7684\u3002\u6211\u662f\u88ab\u8fd9\u4e24"""
钱,[[21]],[5],0,middle,16,6,"[""\u8fd9"", ""\u4e24"", ""\u5757""]","[""\u7684"", ""\u9ec4\u9152"", ""\u5e72""]","""\u4f46\u662f\u5ea6\u6570\u9ad8\u7684\u4e5f\u6709\u5f53\u9152\u9986\u7684\u3002\u6211\u662f\u88ab\u8fd9\u4e24\u5757"""
的,[[22]],[5],0,middle,17,5,"[""\u4e24"", ""\u5757"", ""\u94b1""]","[""\u9ec4\u9152"", ""\u5e72"", ""\u5012""]","""\u4f46\u662f\u5ea6\u6570\u9ad8\u7684\u4e5f\u6709\u5f53\u9152\u9986\u7684\u3002\u6211\u662f\u88ab\u8fd9\u4e24\u5757\u94b1"""
黄酒,"[[23, 24]]",[5],0,middle,18,4,"[""\u5757"", ""\u94b1"", ""\u7684""]","[""\u5e72"", ""\u5012"", ""\u4e86""]","""\u4f46\u662f\u5ea6\u6570\u9ad8\u7684\u4e5f\u6709\u5f53\u9152\u9986\u7684\u3002\u6211\u662f\u88ab\u8fd9\u4e24\u5757\u94b1\u7684"""
干,[[25]],[5],0,middle,19,3,"[""\u94b1"", ""\u7684"", ""\u9ec4\u9152""]","[""\u5012"", ""\u4e86"", ""\u3002""]","""\u4f46\u662f\u5ea6\u6570\u9ad8\u7684\u4e5f\u6709\u5f53\u9152\u9986\u7684\u3002\u6211\u662f\u88ab\u8fd9\u4e24\u5757\u94b1\u7684\u9ec4\u9152"""
倒,[[26]],[5],0,middle,20,2,"[""\u7684"", ""\u9ec4\u9152"", ""\u5e72""]","[""\u4e86"", ""<EOR>""]","""\u4f46\u662f\u5ea6\u6570\u9ad8\u7684\u4e5f\u6709\u5f53\u9152\u9986\u7684\u3002\u6211\u662f\u88ab\u8fd9\u4e24\u5757\u94b1\u7684\u9ec4\u9152\u5e72"""
了,[[27]],[5],0,middle,21,1,"[""\u9ec4\u9152"", ""\u5e72"", ""\u5012""]","[""<EOR>""]","""\u4f46\u662f\u5ea6\u6570\u9ad8\u7684\u4e5f\u6709\u5f53\u9152\u9986\u7684\u3002\u6211\u662f\u88ab\u8fd9\u4e24\u5757\u94b1\u7684\u9ec4\u9152\u5e72\u5012"""
。,[[28]],[5],0,passage_end,22,0,"[""\u5e72"", ""\u5012"", ""\u4e86""]","[""<EOR>""]","""\u4f46\u662f\u5ea6\u6570\u9ad8\u7684\u4e5f\u6709\u5f53\u9152\u9986\u7684\u3002\u6211\u662f\u88ab\u8fd9\u4e24\u5757\u94b1\u7684\u9ec4\u9152\u5e72\u5012\u4e86"""
